video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=FM84zkqY8ZA&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@dwnews,DW News,Keeping the peace as climate change fuels conflict in Africa | DW News,12K,1 day,The Sahel is one of the world's most vulnerable areas to climate change. Intense drought and flooding are common in the region ...,2024-01-30 07:15:45.950373
/watch?v=Tx0am8PdoOs&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@GeologyUpSkill,GeologyUpSkill,Geologists See Climate Change Differently,308K,3 weeks,This place explains why geologists see the climate change from a different perspective.,2024-01-30 07:15:45.951605
/shorts/5ktYj9xKbDI,/@Hopscotchsongs,Hopscotch,"Climate Change Song, Sing-along with us",229K,10 months,"A song to help kids learn about climate change and how to care for our earth. ""Let's switch to renewable power, unplug and take ...",2024-01-30 07:15:45.952923
/watch?v=uynhvHZUOOo&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@TheEconomist,The Economist,See what three degrees of global warming looks like,3.6M,2 years,00:57 - Climate change is already having devastating effects 02:58 - How climate modelling works 04:06 - Nowhere is safe from ...,2024-01-30 07:15:45.954337
/watch?v=WkvPdUtYhX8&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@LearnBright,Learn Bright,Climate Change for Kids | A fun engaging introduction to climate change for kids,434K,2 years,Hey Teachers and Parents! In this video we explore climate change for kids. We learn all about the causes of climate change like ...,2024-01-30 07:15:45.956203
/watch?v=8eJ-TFIlLK0&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@ClimateAdam,ClimateAdam,Could Climate Change cause an Ocean Tipping Point... Soon..?,36K,5 months,The huge ocean current known as the Atlantic Meridional Overturning Circulation (AMOC - not the Gulf Stream!) shifts vast amount ...,2024-01-30 07:15:45.957939
/watch?v=ldLBoErAhz4&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@eons,PBS Eons,The Last Time the Globe Warmed,8.6M,6 years,"Imagine an enormous, lush rainforest teeming with life...in the Arctic. Well, there was a time -- and not too long ago -- when the ...",2024-01-30 07:15:45.959344
/watch?v=l_Oe6YK0DgE&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@pbsterra,PBS Terra,What is the RISKIEST Region in the US as the Climate Changes?,2.7M,1 year,"Climate Change is increasing the frequency and severity of natural disasters all around the world. And in the United States, more ...",2024-01-30 07:15:45.960541
/watch?v=zy7vUppYPC8&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@DWDocumentary,DW Documentary,Will renewables stop the climate crisis? | DW Documentary,199K,1 month,"Mankind is facing the greatest upheaval since industrialization. To stop climate change, the energy system must be transformed ...",2024-01-30 07:15:45.961909
/watch?v=qoNRZKgLDhg&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@bbclearningenglish,BBC Learning English,Climate change: Are there too many people? - 6 Minute English,507K,1 year,What do you think is the biggest cause of climate change? Improve your English vocabulary and listening as we discuss the ...,2024-01-30 07:15:45.968106
/watch?v=t7IpV3PjACY&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@CBSNews,CBS News,Arctic melting foreshadows America's climate future,25K,1 month,What scientists are learning there can help Americans understand how climate change is affecting our country too. CBS News ...,2024-01-30 07:15:45.969567
/watch?v=-Vm_gabtIA8&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@CNBC,CNBC,Which U.S. Cities Are Safest From Climate Change?,784K,1 year,Climate havens or climate destinations are cities that are situated in places that avoid the worst effects of natural disasters and ...,2024-01-30 07:15:45.971474
/watch?v=zG53kU3gIa4&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@GlobalLandscapesForum,Global Landscapes Forum - GLF,Top 10 Climate Change Myths BUSTED,52K,1 year,"Is climate change real – and are humans causing it? Myths about climate change are more pervasive than ever, which is why ...",2024-01-30 07:15:45.973309
/watch?v=sAwLnEh-IVU&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@SabineHossenfelder,Sabine Hossenfelder,Crack Down On New Climate Denial! Nonprofit tells YouTube,216K,8 days,"The Center for Countering Digital Hate put out a new report a few days ago, in which they warn that climate misinformation ...",2024-01-30 07:15:45.974707
/watch?v=vFDnknU0h0s&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@pbsterra,PBS Terra,"Have We Made ANY Progress on Climate Change? Here's The Data, You Decide",290K,1 year,RCP 8.5 has often been referred to as “business as usual.” It describes a world without action on climate policy and continued ...,2024-01-30 07:15:45.975988
/watch?v=N6t6QHQtdVw&pp=ygUOQ2xpbWF0ZSBDaGFuZ2U%3D,/@Peekaboo_Kidz,Peekaboo Kidz,Climate Change 101 | Keep The Environment Safe | The Dr Binocs Show | Peekaboo Kidz,1.1M,1 year,Climate | How To Keep The Environment Safe? | Global Warming | Climate Change | What Causes Global Warming?,2024-01-30 07:15:45.977774
